ООО «СТРОЙЦЕНТР»;3810332747;+7 (395) 228-82-28;664014, РФ,  Иркутская область,  г. Иркутск,  ул. Трактовая,  дом 9,  офис 5;Генеральный директор Янченко Владимир Анатольевич
ЗАО «СМУ-10-Спецмонтажавтоматика»;3123124851;"+7 (472) 258-52-21; +7 (472) 258-52-24";308012, РФ,  Белгородская обл.,  г. Белгород,  ул. Костюкова,  д. 36В;Генеральный директор Махонин Борис Владимирович
Кооператив «Стройизыскатель»;7734027746;+7 (916) 653-28-03;123585, РФ,  г. Москва,  г. Москва,  ул. Маршала Тухачевского,  д. 44,  корп. 3;Председатель кооператива Дашков Юрий Михайлович
ООО «СЗГ»;7816360593;+7 (812) 579-63-68;195196, РФ,  г. Санкт-Петербург,  г. Санкт-Петербург,  Новочеркасский пр.,  д. 47,  корп. 1,  офис 28;Генеральный директор Богданова Екатерина Валерьевна
ООО «ГЕОИНФОРМ+»;7710531834;"+7 (495) 979-39-72; +7 (499) 753-09-75";125009, РФ,  г. Москва,  г. Москва,  Глинищевский пер.,  д. 5/7;Генеральный директор Данилевский Олег Владимирович
ООО «Стройпроект»;6149011544;"+7 (863) 152-35-03; +7 (863) 152-59-64; +7 (903) 464-89-47";346130, РФ,  Ростовская обл., г. Миллерово,  ул. 3-го Интернационала,  д. 30;Генеральный директор Ревенко Жанна Юрьевна
ООО «ТрансСтройПроект»;3664070240;"+7 (473) 242-14-21; +7 (473) 242-17-77";394055, РФ,  Воронежская обл.,  г. Воронеж,  ул. Ворошилова,  д. 21,  кв. 22;Директор Сидоровский Максим Анатольевич
ООО «Сетьстройсервис»;7723203076;"+7 (495) 727-44-03 доб. 117; +7 (966) 337-15-66";150003, РФ,  Ярославская обл.,  г. Ярославль,  ул. Полушкина Роща,  д. 9 , лит. Б,  оф. 113;ИО генерального директора Денисюк Андрей Витальевич
ООО «КАДАСТР»;4633010067;"+7 (471) 484-87-10; +7 (471) 484-38-05";307176, РФ,  Курская обл.,  Железногорский р-н,  г. Железногорск,  ул. Курская,  д. 80;Директор Мухин Александр Викторович
ОАО «СКМ Ин»;7729587090;"+7 (495) 651-81-59; +7 (495)795-11-11";119361, РФ,  г. Москва,  г. Москва,  Мичуринский пр-кт,  д. 80;Генеральный директор Тощев Федор Викторович
АО «Челябинскгеосъёмка»;7451213163;"+7 (351) 232-86-94; +7 (351) 232-86-25";454048, РФ,  Челябинская обл.,  г. Челябинск,  ул. Омская,  д. 89;Генеральный директор Аршакян Валерий Хачикович
ООО «РАЦ «Альфа Проект»;5001081643;+7 (495) 500-15-27;143900, РФ,  Московская обл.,  Балашихинский район,  г. Балашиха,  ул. Восточная,  д.1,  литер А;Генеральный директор Попов Владимир Александрович
ООО «УРАЛГЕОПРОЕКТ»;6670183618;"+7 (843) 348-40-05; +7 (843) 253-02-70";620072, РФ,  Свердловская обл.,  г. Екатеринбург,  ул. Высоцкого,  д. 6,  кв. 430;Директор Буреева Елена Евгеньевна
ООО «МосОблСпортСтрой»;5013046435;"+7 (495) 786-36-80; +7 (929) 608-64-58";140180, РФ,  Московская обл.,  г. Жуковский,  ул. Чкалова,  д. 41,  кв. 2;Генеральный директор Дремин Сергей Иванович
ОАО «Новгородземпредприятие»;5321093302;+7 (816) 273-92-24;173001, РФ,  Новгородская обл.,  г. Великий Новгород,  ул. Великая,  д. 1;Генеральный директор Демьянов Валерий Федорович
ООО «ПРИЗМА»;5906037873;"+7 (342) 260-70-09; +7 (342) 264-04-37";614065, РФ,  Пермский край,  г. Пермь,  ул. Промышленная,  д. 73;Директор Васильев Вячеслав Михайлович
ООО «ГипроТрансПроект»;2466206628;"+7 (391) 255-58-13; +7 (902) 947-58-52; +7 (391) 224-47-47";119121, РФ,  г. Москва,  г. Москва,  ул. Смоленская,  д. 5,  офис 115;Генеральный директор Кубатин Константин Викторович
ООО «КРУГ»;5024028117;+7 (495) 565-02-80;143400, РФ,  Московская обл., г. Красногорскнское,  ул. Речная,  д. 25,  корп. А;Генеральный директор Воротынцев Анатолий Михайлович
ООО «Подъем Мост -  Сервис»;7217001066;"+7 (345) 516-84-33; +7 (345) 516-79-39";627750, РФ,  Тюменская обл.,  г. Ишим,  ул. Ялуторовская,  д. 90;Директор Елизаров Борис Юрьевич
ООО «Эверс-АЭРО»;7701715715;+7 (495) 915-77-21;105064, РФ,  г. Москва,  г. Москва,  Фурманный переулок,  д. 10;Генеральный директор Кисилёв Игорь Викторович
ООО «СТРОЙЦЕНТР»;3810332747;+7 (395) 228-82-28;664014, РФ,  Иркутская область,  г. Иркутск,  ул. Трактовая,  дом 9,  офис 5;Генеральный директор Янченко Владимир Анатольевич
ЗАО «СМУ-10-Спецмонтажавтоматика»;3123124851;"+7 (472) 258-52-21; +7 (472) 258-52-24";308012, РФ,  Белгородская обл.,  г. Белгород,  ул. Костюкова,  д. 36В;Генеральный директор Махонин Борис Владимирович
Кооператив «Стройизыскатель»;7734027746;+7 (916) 653-28-03;123585, РФ,  г. Москва,  г. Москва,  ул. Маршала Тухачевского,  д. 44,  корп. 3;Председатель кооператива Дашков Юрий Михайлович
ООО «СЗГ»;7816360593;+7 (812) 579-63-68;195196, РФ,  г. Санкт-Петербург,  г. Санкт-Петербург,  Новочеркасский пр.,  д. 47,  корп. 1,  офис 28;Генеральный директор Богданова Екатерина Валерьевна
ООО «Магистраль Проект»;7709809820;"+7 (495) 631-64-41; +7 (495) 631-68-65; +7 (926) 220-04-46";109028, РФ,  г. Москва,  г. Москва,  Хохловский пер.,  д. 15,  пом. I;Генеральный директор Усольцев Дмитрий Анатольевич
