ООО «МОДУЛЬСТРОЙ»;2315100323;Директор Резников Константин Сергеевич;353991, Краснодарский край, г.Новороссийск, п.Гайдук, ул.Новороссийское шоссе, 24;www.modul-stroy.ru;modul-stroy@inbox.ru;(8617) 268028, 268029
ООО «Дорожная фирма «Агат»;2354001076;Директор Калюжный Иван Иванович;352120, РОССИЯ, Краснодарский край, Тихорецкий район, г.Тихорецк,, ул.Ленинградская, 2, 9;;agat_df@mail.ru;(86196) 99139
АО «СЗ «Ейск-Экс-Порт»;2306000450;Генеральный директор Чижов Александр Владимирович;353680, Краснодарский край, Ейский район, г.Ейск, ул. Мира, 123;www.e-x-p.ru;avs@e-x-p.ru, larisa_eysk@mail.ru;(86132) 21432, 20453
НАО «Анапское ДРСУ «Вираж»;2301054010;Генеральный директор Семенов Николай Геннадьевич;353451, Краснодарский край, г-к.Анапа, ул.Чехова, 67;http://www.virazh-anapa.narod.ru/;"adrsu@mail.ru; adrsu@newmail.ru";(86133) 36653
ООО «АНТ»;2347006877;Директор Исаев Рафиг Наби Оглы;353862, Краснодарский край, г.Приморско-Ахтарск, ул. Механизаторов, д.35;;antpto@mail.ru;(86143) 3-43-56
ООО «Апекс»;2315012998;Директор Делижанов Алексей Иванович;353910, Краснодарский край, г.Новороссийск, ул.Набережная Адмирала Серебрякова, 69;;"ooo-apeks@yandex.ru; del1954@mail.ru; golowinaanna@yandex.ru";(8617) 714438
ОАО «АПСК «Гулькевичский»;2329007878;Генеральный директор Филоненко Наталья Викторовна;352192, Краснодарский край, Гулькевичский район, г.Гулькевичи, ул.Энергетиков, 29;http://apskg.ru;oaoapskg@mail.kuban.ru;(86160) 55100, 55101, 55104
ООО «Асстек-Н»;2315997304;Генеральный директор Голубев Александр Николаевич;353915, Краснодарский край, г.Новороссийск, Мысхакское шоссе, д 57;www.asstec.ru;220103@asstec.ru;(8617) 220103, 220500
ООО «Бизнес-Инвест»;2317029098;Генеральный директор Лактионов Александр Николаевич;350000, Краснодарский край, г.Краснодар, ул.Красноармейская, 36, литер Б, оф.325;www.business-invest.ru;business-invest@mail.ru;(861) 2749038
ООО «Бора-Строй»;2310056230;Генеральный директор Гусейнов Нариман Гусейн-Оглы;350020, Краснодарский край, г.Краснодар, ул.Коммунаров, 217А;www.bora-stroi.ru;2570980@mail.ru;(861) 2570980, 2570984, 2570981
ООО «СЗ «ИСК «БУДМАР»;2310081363;Генеральный директор Алиферова Наталья Владимировна;350020, Краснодарский край, г.Краснодар, ул.Одесская, 41;www.budmar.ru;oooisk-budmar@v-k-b.ru, mail@isk-budmar.ru;(86162) 31793
ООО «Визор-Кубань»;2308024752;Директор Денисенко Валерий Григорьевич;350000, Краснодарский край, г.Краснодар, ул.Рашпилевская, 53;;vizor-kuban@yandex.ru;(861) 2686031, 2682932
ООО «Выбор-Стройинжиниринг»;2315104906;Генеральный директор Духно Юрий Валерьевич;353925, Краснодарский край, г.Новороссийск, ул.Пионерская, д. 23, оф. 4, 7;www.vibor-group.com;vibor-si@mail.ru;(8617) 777-330
ООО «Геленджик-СтройСервис»;2304042479;Директор Малышев Александр Павлович;353465, Краснодарский край, г.Геленджик, ул.Мира, 3/12;;gelsts@mail.ru;(86141) 3-14-74
ООО «Фирма «Гешефт»;2308010750;Генеральный директор Ильюшин Андрей Михайлович;350051, Краснодарский край, г.Краснодар, ул.Дзержинского, 121/2;www.gesheft.com;gesheft.krd@mail.ru;(861) 2154116
ООО «ГТС»;2308072650;Директор Лебедев Виталий Николаевич;350011, Краснодарский край, г.Краснодар, ул.Обрывная, 136;www.hydrotechstroy.ru;info@hydrotechstroy.ru, hstroy@gmail.com;(861) 2338898, 2338137
ООО «Гилион»;2312124132;Директор Гилевич Валерий Андреевич;350059, Краснодарский край, г.Краснодар, пр.3-й Тихорецкий, 2, офис 19;;gilion.va@list.ru;(861) 2637927
ООО «Градиент»;2315025771;Генеральный директор Задорожный Игорь Владиславович;353921, Краснодарский край, г.Новороссийск, ул.Тобольская, 22;www.gradnvrsk.ru;"sekretar@gradnvrsk.ru; gradient@gradnvrsk.ru; economist@gradnvrsk.ru";(8617) 263010, 261030
ООО «СМУ Гражданстрой»;2312006139;Директор Волонтырец Олег Александрович;350001, Краснодарский край, г.Краснодар, ул.Фурманова, 1;;"info.gstroy@mail.ru; gstroy@mail.ru";(861) 2396252
ГУП КК «Дагомысское ДРСУ»;2318010332;Директор Напсо Сафарбий Сальбиевич;354234, Краснодарский край, г.Сочи, Лазаревский район, с.Волковка, ул.Космическая, 112;;ddrsu@yandex.ru;(862) 2526075
ООО «Дали +»;2308086290;Генеральный директор Денисенко Валерий Григорьевич;350000, Краснодарский край, г.Краснодар, ул.Рашпилевская, 53;;firmadali-plus@yandex.ru;(861) 2686031
ООО СИК «Девелопмент-Юг»;2308034775;Президент Иванов Сергей Петрович;350072, Краснодарский край, г.Краснодар, ул.Московская, д. 59/1, оф. 25;www.develug.ru;info@develug.ru, imm@develug.ru;(861) 2794567
ООО «Дельта»;2328003408;Генеральный директор Гомон Евгений Валентинович;353100, Краснодарский край, Выселковский район, ст.Выселки, ул.Дорожная, 1;www.vsldelta.ru;vsldelta@mail.ru, rtv1999@mail.ru;(86157) 70007, 70006
АО «Домостроитель»;2302001526;Генеральный директор Филоненко Наталья Викторовна;352916, Краснодарский край, г.Армавир, Северная промзона;www.dskarm.ru;dskarm@mail.ru;(86137) 38094, 32698
ООО «ДорМеталл»;2356041973;Директор Рязанцев Иван Вячеславович;352326, Краснодарский край, Усть-Лабинский район, ст.Воронежская, ул.Бальбуха, 50;;"office@dormetall.ru; dormetall@mail.ru";(86135) 38357
НАО «ДСУ-1»;2312122368;Генеральный директор Ишутин Виталий Владимирович;350080, Краснодарский край, г.Краснодар, ул.Мачуги, 182;www.dcy1.ru;dcy1@dcy1.ru, ot@dcy1.ru;(861) 2376469
АО «ДСУ-7»;2329014177;Генеральный директор Правда Михаил Владимирович;352192, Краснодарский край, г.Гулькевичи, ул.50 лет ВЛКСМ, 28;;dsu-7.Krasnodar@mail.ru;(86160) 54730
ООО «Усть-Лабинское ДРСУ»;2373010647;Генеральный директор Цибульник Сергей Александрович;352330, Краснодарский край, г.Усть-Лабинск, ул.Кавказская, 9;;u-ldrsu@mail.ru;(86135) 51118
АО «ДЭП №115»;2342016215;Генеральный директор Веретехин Игорь Иванович;352570, Краснодарский край, Мостовский район, п.Мостовской, ул. Набережная, 2;;fgu_dep_115@mail.ru;(86192) 51897
НАО «Ейское ДСУ № 2»;2331014537;Генеральный директор Таран Павел Павлович;353677, Краснодарский край, Ейский район, с.Александровка, ул.Железнодорожная, 5;www.dsu2.ru;DSU2@mail.ru;(86132) 38392
