Общество с ограниченной ответственностью «Аверс-СК»;6659119841;Генеральный директор Кислицын Сергей Васильевич;620041, Свердловская область, г. Екатеринбург, ул. Маяковского, д. 25-А, оф.812;www.averssk.ru;office@averssk.ru,  lpa@averssk.ru;(343) 288-56-01
Общество с ограниченной ответственностью «Строительно-монтажное управление «Апартамент»;6658203314;Директор Евстратов Николай Иванович;620102, Свердловская область, г. Екатеринбург, ул. Шаумяна, д. 107, к. 64;www.sk-apartament.ru;sk-apartament@isnet.ru;(343) 251-53-33
Общество с ограниченной ответственностью «Строительная компания «Гранд-Строй»;6658141869;Генеральный директор Ярулин Олег Мансурович;620010, Свердловская область, г. Екатеринбург, ул. Косарева, д.28, пом. 37;www.sk-gs.ru;sekr@sk-gs.ru, umnikova@sk-gs.ru;(343) 381-57-39
Общество с ограниченной ответственностью «МЕТЕОРИТ и Ко»;6658128875;Директор Климанов Андрей Венедиктович;620102, Свердловская область, г. Екатеринбург, ул. Ясная, д. 20, Д, пом. 41;www.meteorit.ru;meteorit@meteorit.ru, nalimova@meteorit.ru, aan@meteorit.ru;(343) 224-00-24
Общество с ограниченной ответственностью «Фирма Специализированный Монтажный Участок-1»;6670090804;Коммерческий директор Ямашкин Виктор Григорьевич, Директор Ямашкин Владислав Викторович;620078, Свердловская область, г. Екатеринбург, ул.Коминтерна, д. 16, оф. 325;www.smu1ekb.ru;smu1ekb@mail.ru;(343) 356-50-15, 356-50-16
Общество с ограниченной ответственностью «РенаСтройКом»;6672158374;Директор Редько Олег Александрович;620026, Свердловская область, г. Екатеринбург, ул.Мамина-Сибиряка, д. 130, оф. 41;www.rsk96.ru;ooosmynd@mail.ru, nakarjakov@mail.ru;(343) 262-72-97
Общество с ограниченной ответственностью «Строительное предприятие «СМУ-30»;6670007281;Директор Пивоваров Леонид Александрович;620137, Свердловская область, г. Екатеринбург, ул. Вилонова, д. 14, оф. 100;;smu-30ltd@yandex.ru;(343) 362-84-58, 362-84-67
Закрытое акционерное общество «Уралсвязьмонтаж»;6661001780;Генеральный директор Бурдин  Анатолий Николаевич;620014, Свердловская область, г. Екатеринбург, ул. Малышева, д. 21, корп. 1;www.ursm.ru;info@ursm.ru;(343) 376-40-31, 376-40-28
Общество с ограниченной ответственностью «Монтажсвязьсервис»;6686085278;Директор Белов Михаил Николаевич;620028, Свердловская область, г. Екатеринбург, ул. Татищева, д. 94, оф. 2;нет;mss-96@yandex.ru;(343) 251-51-71, 251-51-81
Закрытое акционерное общество «Специализированное Монтажное Управление №5»;6662113695;Генеральный директор Шалимов Сергей Михайлович;620075, Свердловская область, г. Екатеринбург, ул. Красноармейская, д. 37;www.smu5.ru;secret@smu5.ru, bvv@smu5.ru,;(343) 355-66-30, 355-66-36, 355-66-10
Акционерное общество Архитектурно-строительный центр «Правобережный»;6658079272;Генеральный директор Естехин Дмитрий Владимирович;620028, Свердловская область, г. Екатеринбург, ул. Татищева, д. 90;www.pravobereg.ru;sve.78@mail.ru, d.estekhin@pravobereg.ru, v.Ivashkina@pravobereg.ru;(343) 373-44-14
Общество с ограниченной ответственностью «НПП Стройтэк»;6660142370;Директор Копылов Владимир Петрович;620144, Свердловская область, г. Екатеринбург, ул. Сурикова, д. 53, оф. 213;www.stroytek-ek.ru;stroytek@stroytek-ek.ru, av_s@stroytek-ek.ru;(343) 290-35-34, 290-35-36, 287-09-61
Общество с ограниченной ответственностью «Водник»;6659006975;Директор Иканин Валерий Владимирович;620017, Свердловская область, г. Екатеринбург, пр. Космонавтов, д. 7/4;www.vodnik-group.ru;info@vodnik-group.ru, vvikanin@mail.ru, eikanina@vodnik-group.ru;(343) 263-74-28
Общество с ограниченной ответственностью Фирма «БАЗИС»;6660126265;Генеральный директор Грудяенко Александр Вениаминович;620072, Свердловская обл., г. Екатеринбург, ул. 40-летия Комсомола, д. 36;;bazis@e1.ru;(343) 348-44-52, 348-53-70
